lat,long
49.215939,4.050610
49.220589,2.138490
49.233009,2.466460
49.233898,2.889550
49.242489,4.013210
49.247349,6.134380
49.253399,3.979950
49.254250,3.090640
49.254299,4.030280
49.256599,4.033090
49.256599,4.033090
49.259781,2.451970
49.262981,6.170960
49.265339,4.060270
49.270489,-0.260250
49.273819,1.212790
49.283730,-0.708580
49.284489,1.790650
49.287628,-0.100040
49.287739,2.498130
49.289909,1.035300
49.305050,6.121440
49.309631,-1.102560
49.329288,1.100090
49.348709,6.177820
49.349110,0.095400
49.349522,0.520910
49.356091,6.140380
49.357101,6.140180
49.361530,6.107600
49.369781,6.189190
49.373619,3.315830
49.376049,2.413490
49.391682,2.788580
49.401649,2.129990
49.403259,1.066320
49.410290,1.141880
49.412231,0.251370
49.415771,2.822480
49.419979,1.050790
49.431221,1.086680
49.431831,2.084160
49.441921,1.090310
49.445332,1.073100
49.447350,2.095180
49.457821,1.043570
49.472969,1.112330
49.476212,5.955680
49.478199,1.740000
49.492310,0.129320
49.492401,0.106330
49.492908,0.130830
49.508820,4.365990
49.518379,5.755590
49.527481,0.191490
49.541279,5.780670
49.546581,0.950540
49.550999,0.491040
49.564720,3.624320
49.580681,2.997830
49.590961,3.654560
49.612572,0.774870
49.631119,3.243130
49.633930,-1.617090
49.647270,2.587180
49.661011,-1.686040
49.697922,4.928860
49.698631,2.793810
49.738178,4.705650
49.739151,4.749930
49.758839,0.375640
49.848179,3.288220
49.849098,3.269860
49.867210,2.378020
49.892109,2.300880
49.893921,2.294240
49.893921,2.294240
49.911369,1.078920
49.917000,4.087140
49.941460,2.930820
50.009129,2.669410
50.027050,4.033670
50.060810,1.407030
50.101452,1.857280
50.126110,3.423170
50.167419,3.236490
50.261848,3.952910
50.274780,3.967770
50.279861,2.731190
50.300339,2.738170
50.326832,3.400100
50.333599,3.513380
50.333801,2.926710
50.341370,3.096610
50.352612,3.282990
50.357719,3.523270
50.358002,3.523330
50.364330,3.523950
50.369808,3.473800
50.379318,3.090420
50.397640,3.045730
50.403709,1.595020
50.405411,2.975330
50.416012,2.977220
50.420280,2.779610
50.426590,2.802610
50.444401,2.946420
50.463799,2.828550
50.465542,3.595350
50.474281,3.242360
50.479469,2.965760
50.480190,2.665170
50.482311,2.547340
50.509602,1.630720
50.511261,2.476160
50.515369,2.623160
50.519691,2.790720
50.551800,3.055630
50.582909,3.089370
50.601002,3.051740
50.607109,2.959070
50.615089,3.137450
50.618851,3.033680
50.632702,3.062190
50.636009,2.411640
50.636021,3.069980
50.636700,3.063520
50.641628,3.071470
50.650600,2.984270
50.665401,3.076210
50.669750,3.156160
50.680931,3.220450
50.681622,3.130390
50.691349,2.870100
50.700008,1.608540
50.722309,2.535670
50.723629,2.740960
50.725800,3.133100
50.726898,1.644380
50.733231,1.670840
50.740299,2.259550
50.741230,3.146480
50.771000,3.126190
50.931450,1.809100
50.934589,1.799040
50.935692,1.863480
50.952019,1.891970
50.956299,2.433030
51.023129,2.312380
51.032829,2.371390
51.032871,2.393550);
